product_id;product_name;quantity;zone;date;row;shelf
TEL-4567;Роутер RT-AC68U;45;A;2024-03-15;12;3
TEL-8901;Модем DSL-2640U;12;B;2024-03-15;5;2
NET-1234;Коммутатор SG-200;28;C;2024-03-16;8;1
CAB-5678;Патч-корд CAT6;156;A;2024-03-16;3;4
WIFI-9012;Точка доступа UAP-AC;34;B;2024-03-17;15;2
PHONE-3456;IP-телефон T46S;67;D;2024-03-17;6;1
SEC-7890;Видеокамера IPC-HFW;23;C;2024-03-18;11;3
PWR-2345;ИБП Back-UPS;19;A;2024-03-18;7;5
STOR-6789;Сетевой хранилищ;14;B;2024-03-19;9;2
ROUT-0123;Маршрутизатор ER-X;42;D;2024-03-19;4;4
TEL-1357;Роутер Archer C7;38;C;2024-03-20;13;1
NET-2468;Коммутатор TL-SG;51;A;2024-03-20;2;3
CAB-3579;Кабель UTP 5e;89;B;2024-03-21;10;5
WIFI-4680;Маршрутизатор AX10;27;D;2024-03-21;16;2
PHONE-5791;DECT телефон;45;C;2024-03-22;5;1
SEC-6802;Видеорегистратор;18;A;2024-03-22;8;4
PWR-7913;Стабилизатор;31;B;2024-03-23;12;3
STOR-8024;Жесткий диск 4TB;22;D;2024-03-23;14;2
ROUT-9135;Mesh система;49;C;2024-03-24;3;5
TEL-0246;Модем CM-1000;16;A;2024-03-24;11;1
NET-1357;Коммутатор 24 порта;37;B;2024-03-25;7;4
CAB-2468;Патч-панель;44;D;2024-03-25;9;3
WIFI-3579;Репитер Wi-Fi;58;C;2024-03-26;6;2
PHONE-4680;GSM шлюз;25;A;2024-03-26;15;5
SEC-5791;Домофон;41;B;2024-03-27;4;1
PWR-6802;Аккумулятор;33;D;2024-03-27;13;4
STOR-7913;SSD диск 1TB;29;C;2024-03-28;2;2
ROUT-8024;Маршрутизатор AC1200;47;A;2024-03-28;10;3
TEL-9135;VoIP телефон;19;B;2024-03-29;8;1
NET-0246;Медиаконвертер;26;D;2024-03-29;12;5
CAB-1357;Кабель оптический;52;C;2024-03-30;5;4
WIFI-2468;Адаптер Wi-Fi;63;A;2024-03-30;14;2
PHONE-3579;Факс-аппарат;21;B;2024-03-31;3;3
SEC-4680;Считыватель карт;38;D;2024-03-31;11;1
PWR-5791;Розетка сетевая;55;C;2024-04-01;7;5
STOR-6802;Карта памяти;42;A;2024-04-01;9;2
ROUT-7913;Маршрутизатор VPN;31;B;2024-04-02;16;4
TEL-8024;Гарнитура;48;D;2024-04-02;6;3
NET-9135;Коммутатор PoE;24;C;2024-04-03;13;1
CAB-0246;Кабель патч-корд;71;A;2024-04-03;4;5
WIFI-1357;Точка доступа Outdoor;36;B;2024-04-04;10;2
PHONE-2468;Радиотелефон;43;D;2024-04-04;8;4
SEC-3579;Сигнализация;28;C;2024-04-05;15;3
PWR-4680;Блок питания;39;A;2024-04-05;12;1
STOR-5791;Флеш-накопитель;66;B;2024-04-06;5;5
ROUT-6802;Маршрутизатор 5G;23;D;2024-04-06;14;2
TEL-7913;Мини-АТС;51;C;2024-04-07;3;4
NET-8024;Коммутатор управляемый;34;A;2024-04-07;11;3
CAB-9135;Коннектор RJ45;59;B;2024-04-08;7;1
WIFI-0246;Адаптер Powerline;32;D;2024-04-08;9;5
PHONE-1357;Телефонный аппарат;46;C;2024-04-09;6;2
SEC-2468;Замок электромеханический;29;A;2024-04-09;13;4
PWR-3579;ИБП Smart-UPS;41;B;2024-04-10;4;3
STOR-4680;Внешний HDD;37;D;2024-04-10;16;1
ROUT-5791;Маршрутизатор Tri-band;54;C;2024-04-11;2;5
TEL-6802;Роутер Wi-Fi 6;26;A;2024-04-11;10;2
NET-7913;Коммутатор 48 портов;33;B;2024-04-12;8;4
CAB-8024;Кабель HDMI;68;D;2024-04-12;12;3
WIFI-9135;Система Mesh 3-pack;25;C;2024-04-13;5;1
PHONE-0246;IP-телефон конференц;49;A;2024-04-13;14;5
SEC-1357;Камера купольная;22;B;2024-04-14;3;2
PWR-2468;Стабилизатор напряжения;47;D;2024-04-14;11;4
STOR-3579;NAS сервер;31;C;2024-04-15;7;3
ROUT-4680;Маршрутизатор Gaming;58;A;2024-04-15;9;1
TEL-5791;Модем 4G/LTE;35;B;2024-04-16;15;2
NET-6802;Коммутатор Level 2;42;D;2024-04-16;6;5
CAB-7913;Кабель USB;79;C;2024-04-17;4;4
WIFI-8024;Адаптер Wi-Fi 6;28;A;2024-04-17;13;2
PHONE-9135;DECT база;53;B;2024-04-18;8;3
SEC-0246;Система контроля доступа;36;D;2024-04-18;10;1
PWR-1357;Бесперебойник;44;C;2024-04-19;12;5
STOR-2468;Модуль памяти;39;A;2024-04-19;5;4
ROUT-3579;Маршрутизатор Outdoor;27;B;2024-04-20;14;3
TEL-4680;VoIP шлюз;61;D;2024-04-20;3;2
NET-5791;Коммутатор Stackable;33;C;2024-04-21;11;1
CAB-6802;Кабель кроссовый;56;A;2024-04-21;7;5
WIFI-7913;Точка доступа Ceiling;24;B;2024-04-22;9;2
PHONE-8024;Телефонный коммутатор;48;D;2024-04-22;16;4
SEC-9135;Датчик движения;31;C;2024-04-23;6;3
PWR-0246;Блок батарейный;45;A;2024-04-23;13;1
STOR-1357;Картридер;52;B;2024-04-24;4;5
ROUT-2468;Маршрутизатор WiFi 5;29;D;2024-04-24;8;2
TEL-3579;GSM модем;43;C;2024-04-25;10;4
NET-4680;Коммутатор JetStream;38;A;2024-04-25;15;3
CAB-5791;Патч-корд CAT6A;72;B;2024-04-26;5;1
WIFI-6802;Репитер AC1200;26;D;2024-04-26;12;5
PHONE-7913;Видеотелефон;49;C;2024-04-27;7;2
SEC-8024;Камера PTZ;34;A;2024-04-27;14;4
PWR-9135;ИБП On-line;41;B;2024-04-28;3;3
STOR-0246;Диск SSD NVMe;58;D;2024-04-28;11;1
ROUT-1357;Маршрутизатор ADSL;32;C;2024-04-29;9;5
TEL-2468;Радиостанция;47;A;2024-04-29;6;2
NET-3579;Коммутатор 10GbE;25;B;2024-04-30;13;4
CAB-4680;Кабель силовой;64;D;2024-04-30;8;3
WIFI-5791;Маршрутизатор Travel;39;C;2024-05-01;4;1
PHONE-6802;Телефонный усилитель;56;A;2024-05-01;10;5
SEC-7913;Видеодомофон;23;B;2024-05-02;12;2
PWR-8024;Зарядное устройство;51;D;2024-05-02;5;4
STOR-9135;Внешний SSD;37;C;2024-05-03;7;3
ROUT-0246;Маршрутизатор Dual WAN;44;A;2024-05-03;15;1
TEL-1357;Спутниковый телефон;29;B;2024-05-04;3;5
NET-2468;Коммутатор Cloud;62;D;2024-05-04;11;2
CAB-3579;Кабель VGA;41;C;2024-05-05;9;4
WIFI-4680;Точка доступа In-wall;28;A;2024-05-05;6;3
PHONE-5791;УАТС;53;B;2024-05-06;14;1
SEC-6802;Система видеонаблюдения;35;D;2024-05-06;8;5
PWR-7913;Блок аварийный;48;C;2024-05-07;12;2
STOR-8024;Лента магнитная;32;A;2024-05-07;4;4
ROUT-9135;Маршрутизатор CPE;59;B;2024-05-08;10;3
TEL-0246;Факс-модем;26;D;2024-05-08;16;1
NET-1357;Коммутатор L3;43;C;2024-05-09;7;5
CAB-2468;Кабель DisplayPort;67;A;2024-05-09;13;2
WIFI-3579;Адаптер Wi-Fi USB;31;B;2024-05-10;5;4
PHONE-4680;Телефон для слабослышащих;54;D;2024-05-10;11;3
SEC-5791;Термостат умный;22;C;2024-05-11;9;1
PWR-6802;Блок распределительный;49;A;2024-05-11;15;5
STOR-7913;Дисковая полка;36;B;2024-05-12;6;2
ROUT-8024;Маршрутизатор Omada;63;D;2024-05-12;8;4
TEL-9135;Пейджер;27;C;2024-05-13;12;3
NET-0246;Коммутатор Fanless;44;A;2024-05-13;4;1
CAB-1357;Кабель аудио;58;B;2024-05-14;10;5
WIFI-2468;Точка доступа High Density;33;D;2024-05-14;14;2
PHONE-3579;Телефонный регистратор;47;C;2024-05-15;7;4
SEC-4680;Датчик дыма;25;A;2024-05-15;3;3
PWR-5791;Стабилизатор цифровой;52;B;2024-05-16;11;1
STOR-6802;Ленточный накопитель;39;D;2024-05-16;9;2
ROUT-7913;Маршрутизатор Zyxel;46;C;2024-05-17;5;5
TEL-8024;Система громкой связи;31;A;2024-05-17;13;4
NET-9135;Коммутатор Aggregation;28;B;2024-05-18;8;3
CAB-0246;Кабель SATA;71;D;2024-05-18;12;1
WIFI-1357;Адаптер Wi-Fi PCI-E;42;C;2024-05-19;6;2
PHONE-2468;IP-телефон Gigabit;59;A;2024-05-19;15;5
SEC-3579;Камера уличная;26;B;2024-05-20;4;4
PWR-4680;ИБП Tower;53;D;2024-05-20;10;3
STOR-5791;Массив RAID;38;C;2024-05-21;7;1
ROUT-6802;Маршрутизатор MikroTik;65;A;2024-05-21;14;2
TEL-7913;Модем VDSL;24;B;2024-05-22;3;5
NET-8024;Коммутатор Core;49;D;2024-05-22;11;4
CAB-9135;Кабель питания;76;C;2024-05-23;9;3
WIFI-0246;Точка доступа OpenMesh;35;A;2024-05-23;5;1
PHONE-1357;Телефонный кабель;62;B;2024-05-24;13;2
SEC-2468;Датчик протечки;29;D;2024-05-24;8;5
PWR-3579;Блок бесперебойный;46;C;2024-05-25;12;4
STOR-4680;Карта microSD;43;A;2024-05-25;6;3
ROUT-5791;Маршрутизатор TP-Link;57;B;2024-05-26;10;1
TEL-6802;АТС панельная;32;D;2024-05-26;16;2
NET-7913;Коммутатор Distribution;41;C;2024-05-27;7;5
CAB-8024;Кабель патч-корд экранированный;68;A;2024-05-27;4;4
WIFI-9135;Точка доступа UniFi;27;B;2024-05-28;14;3
PHONE-0246;Телефон SIP;54;D;2024-05-28;8;1
SEC-1357;Камера корпусная;39;C;2024-05-29;11;2
PWR-2468;Блок питания PoE;45;A;2024-05-29;5;5
STOR-3579;Накопитель M.2;52;B;2024-05-30;9;4
ROUT-4680;Маршрутизатор D-Link;36;D;2024-05-30;13;3
TEL-5791;Модем кабельный;63;C;2024-05-31;6;1
NET-6802;Коммутатор Edge;34;A;2024-05-31;15;2
CAB-7913;Кабель консольный;59;B;2024-06-01;7;5
WIFI-8024;Адаптер Wi-Fi 802.11ac;48;D;2024-06-01;12;4
PHONE-9135;Телефонный адаптер;25;C;2024-06-02;4;3
SEC-0246;Датчик открытия;51;A;2024-06-02;10;1
PWR-1357;ИБП Rackmount;38;B;2024-06-03;8;2
STOR-2468;Диск SAS;47;D;2024-06-03;14;5
ROUT-3579;Маршрутизатор Netgear;64;C;2024-06-04;3;4
TEL-4680;GSM терминал;29;A;2024-06-04;11;3
NET-5791;Коммутатор Modular;42;B;2024-06-05;9;1
CAB-6802;Кабель телефонный;77;D;2024-06-05;5;2
WIFI-7913;Точка доступа Outdoor 5GHz;33;C;2024-06-06;13;5
PHONE-8024;Телефонный концентратор;56;A;2024-06-06;7;4
SEC-9135;Камера скрытая;31;B;2024-06-07;12;3
PWR-0246;Стабилизатор сервоприводный;48;D;2024-06-07;6;1
STOR-1357;Лента для стримера;35;C;2024-06-08;10;2
ROUT-2468;Маршрутизатор ASUS;62;A;2024-06-08;15;5
TEL-3579;Модем ADSL2+;27;B;2024-06-09;4;4
NET-4680;Коммутатор Half-Duplex;53;D;2024-06-09;8;3
CAB-5791;Кабель USB-C;69;C;2024-06-10;11;1
WIFI-6802;Адаптер Wi-Fi Dual Band;44;A;2024-06-10;5;2
PHONE-7913;Телефонный справочный;61;B;2024-06-11;14;4
SEC-8024;Датчик температуры;26;D;2024-06-11;7;5
PWR-9135;Блок питания резервный;49;C;2024-06-12;9;3
STOR-0246;Диск SATA HDD;36;A;2024-06-12;13;1
ROUT-1357;Маршрутизатор ZTE;55;B;2024-06-13;6;2
TEL-2468;Система интерком;32;D;2024-06-13;12;4
NET-3579;Коммутатор Full-Duplex;47;C;2024-06-14;8;3
CAB-4680;Кабель Molex;73;A;2024-06-14;4;5
WIFI-5791;Точка доступа Ceiling Mount;30;B;2024-06-15;10;1
PHONE-6802;Телефонный автоответчик;57;D;2024-06-15;15;2
SEC-7913;Датчик вибрации;34;C;2024-06-16;7;4
PWR-8024;ИБП Line-Interactive;51;A;2024-06-16;11;3
STOR-9135;Флеш-карта CompactFlash;38;B;2024-06-17;5;5
ROUT-0246;Маршрутизатор Huawei;66;D;2024-06-17;9;1
TEL-1357;Модем 3G USB;25;C;2024-06-18;14;2
NET-2468;Коммутатор Backbone;42;A;2024-06-18;6;4
CAB-3579;Кабель Ethernet;58;B;2024-06-19;12;3
WIFI-4680;Адаптер Wi-Fi Nano;45;D;2024-06-19;8;5
PHONE-5791;Телефонный маршрутизатор;29;C;2024-06-20;3;1
SEC-6802;Камера тепловизор;63;A;2024-06-20;10;2
PWR-7913;Блок питания DIN-rail;40;B;2024-06-21;13;4
STOR-8024;Накопитель USB 3.0;47;D;2024-06-21;7;3
ROUT-9135;Маршрутизатор Cisco;54;C;2024-06-22;5;5
TEL-0246;Модем Dial-up;31;A;2024-06-22;11;1
NET-1357;Коммутатор Metro;48;B;2024-06-23;9;2
CAB-2468;Кабель коаксиальный;75;D;2024-06-23;15;4
WIFI-3579;Точка доступа Hospitality;35;C;2024-06-24;4;3
PHONE-4680;Телефонный кросс;62;A;2024-06-24;12;5
SEC-5791;Датчик давления;28;B;2024-06-25;8;1
PWR-6802;Стабилизатор релейный;53;D;2024-06-25;6;2
STOR-7913;Диск NVMe SSD;41;C;2024-06-26;10;4
ROUT-8024;Маршрутизатор Ubiquiti;68;A;2024-06-26;14;3
TEL-9135;Система VoIP;26;B;2024-06-27;7;5
NET-0246;Коммутатор Compact;43;D;2024-06-27;5;1
CAB-1357;Кабель FireWire;59;C;2024-06-28;13;2
WIFI-2468;Адаптер Wi-Fi Long Range;36;A;2024-06-28;9;4
PHONE-3579;Телефонный ключ;55;B;2024-06-29;11;3
SEC-4680;Датчик освещенности;32;D;2024-06-29;8;1
PWR-5791;ИБП Delta;49;C;2024-06-30;6;5
STOR-6802;Лента LTO;44;A;2024-06-30;12;2
ROUT-7913;Маршрутизатор Tenda;61;B;2024-07-01;4;4
TEL-8024;Модем ISDN;27;D;2024-07-01;10;3
NET-9135;Коммутатор Industrial;52;C;2024-07-02;15;1
CAB-0246;Кабель Mini SAS;70;A;2024-07-02;7;5
WIFI-1357;Точка доступа Mesh;39;B;2024-07-03;13;2
PHONE-2468;Телефонный интерфейс;46;D;2024-07-03;5;4
SEC-3579;Датчик влажности;33;C;2024-07-04;11;3
PWR-4680;Блок питания медицинский;58;A;2024-07-04;9;1
STOR-5791;Диск SCSI;35;B;2024-07-05;14;5
ROUT-6802;Маршрутизатор OpenWrt;62;D;2024-07-05;8;2
TEL-7913;Модем xDSL;29;C;2024-07-06;6;3
NET-8024;Коммутатор Blade;47;A;2024-07-06;12;4
CAB-9135;Кабель Thunderbolt;64;B;2024-07-07;10;1
WIFI-0246;Адаптер Wi-Fi 802.11n;41;D;2024-07-07;16;5
PHONE-1357;Телефонный фильтр;56;C;2024-07-08;7;2
SEC-2468;Камера аналоговая;24;A;2024-07-08;4;3
PWR-3579;Стабилизатор инверторный;51;B;2024-07-09;13;4
STOR-4680;Накопитель eMMC;38;D;2024-07-09;11;1
ROUT-5791;Маршрутизатор DD-WRT;65;C;2024-07-10;5;2
TEL-6802;Система конференц-связи;32;A;2024-07-10;15;5
NET-7913;Коммутатор Top-of-Rack;49;B;2024-07-11;8;3
CAB-8024;Кабель Serial ATA;67;D;2024-07-11;6;4
WIFI-9135;Точка доступа Carrier;34;C;2024-07-12;12;1
PHONE-0246;Телефонный декодер;61;A;2024-07-12;9;2
SEC-1357;Датчик газа;28;B;2024-07-13;14;5
PWR-2468;ИБП Double Conversion;53;D;2024-07-13;7;3
STOR-3579;Диск M.2 NVMe;40;C;2024-07-14;10;4
ROUT-4680;Маршрутизатор Google;57;A;2024-07-14;4;1
TEL-5791;Модем DOCSIS 3.0;45;B;2024-07-15;11;2
NET-6802;Коммутатор Spine;31;D;2024-07-15;8;5
CAB-7913;Кабель Parallel;72;C;2024-07-16;13;3
WIFI-8024;Адаптер Wi-Fi 802.11ax;48;A;2024-07-16;5;4
PHONE-9135;Телефонный шифратор;25;B;2024-07-17;15;1
SEC-0246;Датчик уровня воды;52;D;2024-07-17;9;2
PWR-1357;Блок питания冗余ный;39;C;2024-07-18;12;5
STOR-2468;Лента DLT;46;A;2024-07-18;6;3
ROUT-3579;Маршрутизатор Apple;63;B;2024-07-19;10;4
TEL-4680;Модем LTE-A;30;D;2024-07-19;7;1
NET-5791;Коммутатор ToR;55;C;2024-07-20;14;2
CAB-6802;Кабель Optical Fiber;69;A;2024-07-20;8;5
WIFI-7913;Точка доступа 802.11ac Wave 2;36;B;2024-07-21;11;3
PHONE-8024;Телефонный имитатор;53;D;2024-07-21;5;4
SEC-9135;Камера IP купольная;41;C;2024-07-22;13;1
PWR-0246;Стабилизатор электромеханический;58;A;2024-07-22;9;2
STOR-1357;Диск SAS SSD;35;B;2024-07-23;6;5
ROUT-2468;Маршрутизатор Linksys;62;D;2024-07-23;12;3
TEL-3579;Модем Fiber;29;C;2024-07-24;4;4
NET-4680;Коммутатор Enterprise;47;A;2024-07-24;15;1
CAB-5791;Кабель Mini DisplayPort;64;B;2024-07-25;10;2
WIFI-6802;Адаптер Wi-Fi Portable;43;D;2024-07-25;7;5
PHONE-7913;Телефонный анализатор;60;C;2024-07-26;11;3
SEC-8024;Датчик тока;27;A;2024-07-26;8;4
PWR-9135;ИБП Modular;54;B;2024-07-27;14;1
STOR-0246;Накопитель SDXC;37;D;2024-07-27;6;2
ROUT-1357;Маршрутизатор Buffalo;65;C;2024-07-28;13;5
TEL-2468;Модем SHDSL;32;A;2024-07-28;5;3
NET-3579;Коммутатор Data Center;49;B;2024-07-29;9;4
CAB-4680;Кабель DVI;71;D;2024-07-29;12;1
WIFI-5791;Точка доступа 802.11ad;34;C;2024-07-30;7;2
PHONE-6802;Телефонный тестер;57;A;2024-07-30;15;5
SEC-7913;Датчик магнитный;26;B;2024-07-31;4;3
PWR-8024;Блок питания горячей замены;51;D;2024-07-31;10;4
STOR-9135;Лента VXA;38;C;2024-08-01;8;1
ROUT-0246;Маршрутизатор Belkin;66;A;2024-08-01;11;2
TEL-1357;Модем G.fast;25;B;2024-08-02;6;5
NET-2468;Коммутатор Fabric;42;D;2024-08-02;13;3
CAB-3579;Кабель Ribbon;58;C;2024-08-03;5;4
WIFI-4680;Адаптер Wi-Fi Internal;45;A;2024-08-03;14;1
PHONE-5791;Телефонный симулятор;29;B;2024-08-04;9;2
SEC-6802;Датчик расстояния;63;D;2024-08-04;7;5
PWR-7913;Стабилизатор феррорезонансный;40;C;2024-08-05;12;3
STOR-8024;Диск FC HDD;47;A;2024-08-05;4;4
ROUT-9135;Маршрутизатор TRENDnet;54;B;2024-08-06;10;1
TEL-0246;Модем V.92;31;D;2024-08-06;16;2
NET-1357;Коммутатор Chassis;48;C;2024-08-07;8;5
CAB-2468;Кабель SCSI;75;A;2024-08-07;11;3
WIFI-3579;Точка доступа 802.11r;35;B;2024-08-08;6;4
PHONE-4680;Телефонный монитор;62;D;2024-08-08;13;1
SEC-5791;Датчик углекислого газа;28;C;2024-08-09;5;2
PWR-6802;ИБП Transformer-based;53;A;2024-08-09;15;5
STOR-7913;Накопитель Memory Stick;41;B;2024-08-10;7;3
ROUT-8024;Маршрутизатор ZyXEL;68;D;2024-08-10;9;4
TEL-9135;Модем LTE Cat6;26;C;2024-08-11;12;1
NET-0246;Коммутатор Virtual;43;A;2024-08-11;4;2
CAB-1357;Кабель MIDI;59;B;2024-08-12;10;5
WIFI-2468;Адаптер Wi-Fi 802.11g;36;D;2024-08-12;8;3
PHONE-3579;Телефонный эмулятор;55;C;2024-08-13;14;4
SEC-4680;Датчик качества воздуха;32;A;2024-08-13;6;1
PWR-5791;Блок питания тиристорный;49;B;2024-08-14;11;2
STOR-6802;Лента QIC;44;D;2024-08-14;7;5
ROUT-7913;Маршрутизатор Synology;61;C;2024-08-15;5;3
TEL-8024;Модем CDMA;27;A;2024-08-15;13;4
NET-9135;Коммутатор Fixed;52;B;2024-08-16;9;1
CAB-0246;Кабель Firewall;70;D;2024-08-16;12;2
WIFI-1357;Точка доступа 802.11k;39;C;2024-08-17;8;5
PHONE-2468;Телефонный рекордер;46;A;2024-08-17;15;3
SEC-3579;Датчик радиации;33;B;2024-08-18;7;4
PWR-4680;Стабилизатор с двойным преобразованием;58;D;2024-08-18;10;1
STOR-5791;Диск ATA;35;C;2024-08-19;6;2
ROUT-6802;Маршрутизатор QNAP;62;A;2024-08-19;14;5
TEL-7913;Модем HSUPA;29;B;2024-08-20;5;3
NET-8024;Коммутатор Stack;47;D;2024-08-20;11;4
CAB-9135;Кабель SAS External;64;C;2024-08-21;9;1
WIFI-0246;Адаптер Wi-Fi 802.11b;41;A;2024-08-21;13;2
PHONE-1357;Телефонный генератор;56;B;2024-08-22;8;5
SEC-2468;Датчик шума;24;D;2024-08-22;4;3
PWR-3579;ИБП Online Double Conversion;51;C;2024-08-23;12;4
STOR-4680;Накопитель xD-Picture;38;A;2024-08-23;10;1
ROUT-5791;Маршрутизатор Mikrotik Cloud;65;B;2024-08-24;7;2
TEL-6802;Модем EV-DO;32;D;2024-08-24;15;5
NET-7913;Коммутатор Modular Chassis;49;C;2024-08-25;6;3
CAB-8024;Кабель DB-25;67;A;2024-08-25;11;4
WIFI-9135;Точка доступа 802.11v;34;B;2024-08-26;9;1
PHONE-0246;Телефонный сканер;61;D;2024-08-26;13;2
SEC-1357;Датчик UV;28;C;2024-08-27;5;5
PWR-2468;Блок питания импульсный;53;A;2024-08-27;14;3
STOR-3579;Диск SATA SSD;40;B;2024-08-28;8;4
ROUT-4680;Маршрутизатор Open Source;57;D;2024-08-28;10;1
TEL-5791;Модем TD-LTE;45;C;2024-08-29;12;2
NET-6802;Коммутатор Core Distribution;31;A;2024-08-29;4;5
CAB-7913;Кабель DB-9;72;B;2024-08-30;7;3
WIFI-8024;Адаптер Wi-Fi 802.11a;48;D;2024-08-30;11;4
PHONE-9135;Телефонный декодер DTMF;25;C;2024-08-31;9;1
SEC-0246;Датчик пламени;52;A;2024-08-31;15;2